filename,user,description quality,extra insight,inaccurate,confusion with other,title mention,visual element mention,data element mention,elements mentioned
economist_daily_chart_103.png, pi, 3, 0, 0, 0, 1, 0, 0, 
economist_daily_chart_103.png, mg, 2, 0, 0, 0, 1, 0, 0, 
economist_daily_chart_103.png, wab, 1, 0, 0, 0, 0, 0, 0, 
economist_daily_chart_103.png, abl, 1, 0, 0, 0, 0, 0, 0, 
economist_daily_chart_103.png, rk, 0, 0, 0, 0, 0, 0, 1, 
economist_daily_chart_106.png, ls, 0, 0, 0, 1, 0, 0, 0, 
economist_daily_chart_106.png, em, 2, 0, 0, 0, 1, 0, 0, Legend
economist_daily_chart_106.png, mg, 3, 0, 0, 0, 0, 0, 1, 
economist_daily_chart_106.png, wab, 2, 0, 0, 0, 1, 0, 0, 
economist_daily_chart_106.png, abl, 3, 0, 0, 0, 1, 0, 0, 
economist_daily_chart_106.png, rb, 2, 0, 0, 0, 1, 0, 0, 
economist_daily_chart_110.png, sok, 2, 0, 0, 0, 0, 0, 0, Paragraph
economist_daily_chart_110.png, db, 2, 0, 0, 0, 1, 0, 0, 
economist_daily_chart_110.png, mg, 3, 0, 0, 0, 1, 0, 1, 
economist_daily_chart_110.png, ra, 0, 0, 1, 1, 0, 0, 0, 
economist_daily_chart_110.png, ad, 2, 1, 0, 0, 0, 0, 1, Annotations, Legend
economist_daily_chart_110.png, abl, 3, 1, 0, 0, 1, 0, 1, Annotations
economist_daily_chart_110.png, md, 0, 0, 1, 1, 0, 0, 0, 
economist_daily_chart_110.png, rb, 0, 0, 1, 1, 0, 0, 1, 
economist_daily_chart_116.png, wab, 3, 0, 1, 0, 1, 0, 0, Legend, Data
economist_daily_chart_116.png, sok, 3, 0, 0, 0, 1, 0, 1, Legend
economist_daily_chart_116.png, db, 2, 1, 0, 0, 1, 0, 1, Legend
economist_daily_chart_116.png, em, 2, 0, 0, 0, 1, 0, 0, 
economist_daily_chart_116.png, mg, 3, 0, 0, 0, 1, 0, 0, 
